gene	s1816	s1616	s1063	s1936
HK1E8	-1.229867458	-0.924448967	-0.973032832	-0.567888975
HK1E9	-0.821402609	-0.7842713	-0.557995319	0.16227138
HK1E10	0.994397342	0.992222607	0.993178785	0.695145369
HK1E11	0.292553604	0.090197816	-0.538095772	-0.807354867
HK1F2	-0.551795602	-0.40987584	0.166897446	-0.222392365
HK1F3	-0.725825071	-0.656515837	-0.388070375	-0.954912186
HK1F4	-0.338801891	0.548304021	-0.318529397	-0.023083597
HK1F5	-0.801773787	0.030696772	-0.23606731	-0.094636932
HK1F6	-0.367371023	0.472068399	-0.683526218	0.241888583
HK1F7	-1.584962368	-0.34933421	-0.538095772	-1.119298935
HK1F8	2.985952139	2.136798382	2.056714296	2.765871525
HK1F9	0.551015198	-0.7842713	0.557481766	0.415037453
HK1F10	3.049468756	2.540326118	0.93741554	2.579226017
HK1F11	0.158697844	-0.253756642	-0.479992867	-1.195920229
HK1F12	-1.519374132	-1.369233727	-1.055495024	-0.954912186
HK1G1	0.097297251	0.460841149	0.066495508	-0.584962547
HK1G2	-0.902702749	-0.291231304	-0.499101698	-0.469485223
HK1G3	0.871415794	0.968635857	0.391020685	0.308122218
HK1G4	-0.10433656	0.188761562	-0.128007486	-0.729352415
HK1G6	1.423401117	1.494264126	0.305502564	0.35363698
HK1G7	0.054862022	1.455194592	0.380604088	-0.023083597
HK1G8	-1.283306837	-1.494764686	-1.557995319	-1.517848253
HK1G9	-0.338801891	0.976541042	0.079434559	-0.637429953
HK1G10	0.423401058	0.030696772	-0.013674922	0.022720039
HK1G11	-0.841302156	-0.235378027	0.166897446	-0.407424331
HK1G12	1.448204517	-0.954196334	-0.57817328	-0.748461246
HK1H1	0.709871948	0.25525707	-0.661831141	-0.977279961
HK1H2	0.310700893	0.912052274	0.104969621	0.011404753
HK1H3	-0.568283677	-0.924448967	-0.268488765	-0.619727969
HK1H4	-1.88194418	-1.369233727	-0.538095772	-1.169924974
HV1A3	-0.744440675	-0.310340136	-0.22012569	-0.290779442
HV1A4	0.138519883	1.558873296	0.894131482	0.743819237
HV1A8	-0.535493791	-0.181606829	-0.538095772	0.045087844
HV1A9	-1.367371082	0.59012419	0.520007133	1.349149585
HV1A11	0.033166975	-0.217230707	0.461904228	0.423599541
HV1B1	0.907636106	-0.34933421	-0.098563738	0.415037453
HV1B2	-0.535493791	-0.56187892	-0.442518204	-0.43812111
HV1B3	1.29711175	2.800691366	2.375367403	1.078002572
HV1B7	-3.310787678	-0.272372305	-1.598637342	-1.070389271
HV1B11	1.415037632	2.889201403	1.853280067	1.709220529
HV1C2	1.11805582	0.936574578	0.214594156	0.26112479
HV1C8	-0.353015751	-0.34933421	-0.920565426	-0.27684027
HV1C10	0.871415794	1.337357998	0.747813046	0.849268556
HV1C12	0.011140555	-0.369233757	0.066495508	0.465663552
HV1D1	1.62901783	1.822784901	0.771925449	1.344648242
HV1D3	1.492598534	1.188761592	1.033630848	1.56187892
HV1D5	-1.1043365	-1.954196334	-1.683526278	-1.691877723
HV1E2	-0.821402609	-1.83871913	-0.318529397	-0.729352415
HV1E8	2.156190872	3.135033607	1.672959089	2.774264336
HV1E11	-3.551795721	-3.954196215	-2.64045763	-2.807354927
HV1F5	-0.338801891	0.175086632	0.359542489	0
HV1F7	3.156190872	2.667855501	2.202816963	2.922077179
HV1F12	1.005581141	1.25525701	0.986325085	1.197645783
HV1G1	0.107713848	0.104697369	0.538866103	0.371448219
HV1G2	0.086804867	-0.199308813	-0.557995319	-0.932885766
HV1G4	0.076235652	-0.954196334	-0.773724079	-0.619727969
HV1G7	-0.367371023	-0.811238468	0.178970277	-0.691877723
HV1G9	2.599797487	0.818393171	1.951559544	1.83329165
HV1G10	1.027691841	0.015430026	0.249359548	0.423599541
HV1G11	1.022195816	0.494264126	1.299985647	1.321928144
HV1H1	-0.022542536	0.516123652	-0.142957911	0.280107915
HV1H2	-0.881944239	0.21572873	-0.388070375	-1.169924974
HV1H3	0.504472673	-1.253756642	-0.40599227	-0.407424331
HV1H4	0.789672673	1.809569359	0.348895252	0.457348347
HV1H5	-1.033947229	-0.924448967	-1.204358339	-0.392317444
HV1H6	-2.426264763	-4.954196453	-2.335602999	-2.222392321
HV1H7	0.55862838	-0.07972721	0.249359548	0.317340851
HV1H9	0.448204398	0.015430026	0.066495508	0.033947289
HV1H12	0.919510186	0.415037513	0.689932168	1.312739015
HV2A2	-0.353015751	1.053298235	-0.204358399	0.49032563
HV2A4	3.516249657	2.358686686	1.391020775	3.27183342
HV2A5	-1.01122725	-0.329705417	-1.370368481	-0.729352415
HV2A6	-0.243042842	-0.096215315	-0.113210499	0.045087844
HV2A11	-1.487665176	0.569365621	0.040263996	-0.034765393
HV2B1	-0.902702749	-0.451695949	-0.973032832	-0.602240562
HV2B4	-0.203872278	-1.217230678	-0.499101698	-0.347923279
HV2B7	-0.19104825	-0.584962547	0.272079587	-0.84799695
HV2B8	0.573735237	1.147341609	0.7150231	-1.517848253
HV2B9	-0.033947289	-0.984570026	-0.055495061	-0.469485223
HV2B10	-4.689299107	-4.954196453	-2.479992867	-2.97728014
HV2C1	-0.966833055	-0.539158881	-1.370368481	-1.304854631
HV2C2	-1.551795483	-0.984570026	-1.598637342	-0.954912186
HV2C3	-1.128584146	-1.369233727	-1	-0.673499107
HV2C5	-0.584962428	-1.895302653	-1.557995319	-0.290779442
HV2C6	-1.487665176	-1.047305822	-1.518466949	-0.157100961
HV2C10	0.217591465	0.343484163	-0.128007486	-0.347923279
HV2C11	0.840521753	0.65066576	0.32736212	0.22239244
HV2C12	-0.487665236	-0.272372305	-0.318529397	-0.377367049
HV2D1	0.610824645	1.21572876	0.079434559	0.538419962
HV2D2	0.625397444	0.640750289	0	0.600148857
HV2D3	0.709871948	0.403355718	0.841935217	0.110182941
HV2D5	0.75032407	0.526930392	0.538866103	0.546282053
HV2D9	0.423401058	0.090197816	0.391020685	0.110182941
HV2D12	-0.381870568	-0.129767835	0.529467463	-0.710493445
HV2E1	-0.671377182	-0.451695949	-0.388070375	0.045087844
HV2E2	1.097297192	0.379704475	-0.084064186	-0.10691525
HV2E3	-0.584962428	-0.63226819	-0.424139589	-0.290779442
HV2E6	-0.821402609	-0.494764656	-0.335602999	-0.453717947
HV2E7	0.983126223	0.494264126	0.689932168	0.716207027
HV2E8	0.527931631	-0.217230707	1.148596525	0.35363698
HV2E12	0.086804867	-0.164119422	0.32736212	0.022720039
HV2F2	-0.519374132	-0.146841437	-0.499101698	0
HV2F4	-0.966833055	-1.584962487	-0.479992867	-0.304854602
HV2F5	2.545278788	1.147341609	1.642766953	1.542356372
HV2F6	1.393914223	2.175086737	1.747812986	1.518575072
HV2F8	0.72348243	-0.954196334	1	0.666576266
HV2G1	-1.1043365	-0.7842713	-0.388070375	-0.602240562
HV2G2	-0.426264733	-0.291231304	-0.442518204	-0.094636932
HV2G8	-1.923764467	-2.451695919	-1.142957926	-1.932885766
HV2G11	2.359460115	1.154328108	1.598509073	2.019899368
HV2G12	1.889639616	1.181940317	1.053439379	1.478047252
HV2H3	0.086804867	-0.608421445	0.338168859	-1.070389271
HV2H5	1.01667881	-0.015596837	0.849508405	0.15200308
HV2H7	0.236700296	0.773724139	0.104969621	-0.01149565
HV2H8	1.41083765	-0.291231304	0.226275951	0.099535704
HV2H9	0.227177501	0.526930392	0.557481766	0.554101527
HV3A2	-0.584962428	0.331205845	-1.557995319	0.362570107
HV3A5	-1.551795483	-2.83871913	-1.268488646	-0.86875546
HV3A8	0.55862838	-0.217230707	-0.920565426	0.067114264
HV3A10	-0.165737197	0.680009663	0.166897446	0.280107915
HV3A11	1.67527318	0.306331187	0.557481766	0.688055992
HV3B1	0.086804867	1.66051352	0.026967183	0.22239244
HV3B3	-1.178337216	-0.451695949	-1.236067295	-1
HV3B4	0.217591465	1.569365621	0.130060583	0.630050421
HV3B5	-0.535493791	0.318822145	0.294447392	-0.157100961
HV3B6	1.359460115	0.281020135	1.202816963	1.662965059
HV3B11	-1.310787559	0	-0.40599227	-0.377367049
HV3B12	0.488618612	0.343484163	0.283306837	0.538419962
HV3C1	-0.584962428	-0.146841437	0.142444298	-0.729352415
HV3C3	0.097297251	2.625748158	0.451988757	-0.094636932
HV3C4	-0.881944239	1.625748038	0.681470573	-0.249359548
HV3C8	1.274174929	1.023083568	0.142444298	0.965234637
HV3C10	1.153679609	0.449525863	0.620807767	0.440572619
HV3C11	0.703018248	0.391578555	0.602996528	0.652076721
HV3C12	-0.068712682	-0.838719189	-0.301655591	-0.485426843
HV3D1	-0.243042842	0.620712459	0.053439364	0.482151687
HV3D2	-0.861480117	-1.079727173	0.154722616	-0.407424331
HV3D4	-1.338801861	-2.539158821	-1.236067295	-1.392317414
HV3D5	-0.283306837	-0.291231304	0.040263996	-0.195920184
HV3D6	-2.203872204	-1.217230678	-1.055495024	-1.304854631
HV3D7	-1.203872204	0.526930392	-1.142957926	-1.119298935
HV3D9	0.689212501	1.090197802	1.0599823	0.56187892
HV3E5	0.264897168	-0.199308813	0.272079587	0.465663552
HV3E6	0.044055283	-1.954196334	-0.352880985	-0.807354867
HV3E7	-0.283306837	0.045803647	-1.442518234	0.344648182
HV3E10	0.573735237	0.318822145	0.779874325	0.232173443
HV3E11	-3.689299107	-4.539158821	-2.920565605	-3.070389271
HV3F1	0.472588539	-2.451695919	-1.027480721	-1.517848253
HV3F6	0.632628977	0.293731183	0.053439364	-0.169924989
HV3F7	0.827976525	-0.015596837	0.166897446	-1.304854631
HV3F12	-0.310787559	-1.369233727	-0.499101698	0.22239244
HV3G2	0.246160626	-0.272372305	-0.370368391	-0.362570047
HV3G5	-0.782408535	-0.539158881	-0.869939446	-0.551015139
HV3G7	1.065588474	1.274622321	0.260764301	0.49032563
HV3G9	-0.296981752	-1.40987587	-0.113210499	-1.392317414
HV3G10	0.188445151	-0.473069578	-0.252186954	0.045087844
HV3G11	3.781562805	2.026895285	2.302746773	3.680038452
HV3G12	1.212774515	-0.047305755	-0.113210499	0.141661137
HV3H2	-0.636187792	-1.494764686	-1.236067295	-0.222392365
HV3H7	0.603482664	-0.235378027	0.655783892	0.592575669
HV3H8	0.236700296	-0.706268847	0.755895376	-0.43812111
HV3H9	3.739479542	2.643235683	2.500898361	2.59257555
HV3H11	0.372477055	0.188761562	-0.113210499	-0.485426843
HV3H12	1.799344301	2.097465754	1.638401747	3.355875492
HV4A2	0.520154238	0.610588253	0.260764301	0.770913005
HV4A3	-1.203872204	0.355659008	-1.335602999	-0.304854602
HV4A5	-0.296981752	-2.146841288	-0.869939446	-0.729352415
HV4A6	0.603482664	1.887105942	0.857042074	1.13124454
HV4A8	1.657657862	2.472068548	1.104969501	2.770913124
HV4A9	0.431716263	0.403355718	0.779874325	1.094182491
HV4A10	1.278791666	0.075551048	1.053439379	1.35363698
HV4A11	0.527931631	0.835880578	0.401362628	0.270647585
HV4B2	-1.080489874	-0.40987584	-1.11321044	-0.551015139
HV4B5	-0.487665236	-0.838719189	0.979438722	-0.18286404
HV4B6	-1.841302156	-0.63226819	0.491248131	-1.195920229
HV4B7	2.799344301	4.497014523	2.249359369	3.416110516
HV4B8	0.044055283	1.494264126	-0.04141989	1.227291226
HV4B11	-0.128584221	-0.757799089	1.130060673	-0.710493445
HV4B12	1.948774576	1.385653734	1.396200895	1.526545882
HV4C1	0.292553604	-1.291231394	0.154722616	-0.377367049
HV4C3	-0.068712682	0.030696772	0.359542489	-0.453717947
HV4C4	-0.324726731	-0.63226819	-0.557995319	-0.602240562
HV4C6	0.625397444	-0.539158881	-0.084064186	0.389042258
HV4C7	0.808951795	-0.43063435	0.237863898	0.056143016
HV4C9	1.022195816	-0.706268847	0.294447392	0.15200308
HV4C10	-0.618909836	-1.112894058	-0.499101698	-0.517848313
HV4D1	-0.229867473	-0.681177914	-0.479992867	-0.290779442
HV4D2	0.292553604	0.936574578	0.154722616	-0.911190689
HV4D3	-0.988859475	-0.329705417	-0.750640452	-0.534336448
HV4D5	1.20309186	-0.063425414	0.42182672	0.929610729
HV4D7	1.278791666	0.548304021	0.370111704	0.011404753
HV4D10	-0.966833055	-1.015596867	-1.518466949	-1.094636917
HV4D12	-0.841302156	-1.112894058	-1.055495024	-1.094636917
HV4E1	-1.618909836	-1.681177855	-0.683526218	-0.222392365
HV4E3	-2.153246164	-3.217230558	-2.479992867	-2.27684021
HV4E4	-0.841302156	-0.217230707	-0.57817328	-0.584962547
HV4E5	-1.801773787	0.060754064	-0.640457511	-0.673499107
HV4E8	-0.988859475	-0.096215315	-0.705552638	-0.144389927
HV4E9	0.703018248	0.610588253	1.481533051	1.846087337
HV4E10	-0.01122725	0.472068399	-0.02748071	0.764187098
HV4E11	-0.535493791	-0.757799089	-0.352880985	-0.131789908
HV4F1	0.054862022	-0.63226819	0.079434559	-0.362570047
HV4F2	1.193343878	1.090197802	1.136265755	1.380272031
HV4F3	0.188445151	0.640750289	-0.518466949	0.15200308
HV4F6	-0.283306837	-0.291231304	-0.098563738	0.482151687
HV4F9	0.566201568	0.968635857	0.923131287	0.790904403
HV4F10	0.668252885	0.331205845	0.731511235	0.600148857
HV4F11	0.72348243	0.764621973	1.202816963	0.371448219
HV4F12	-0.116409391	-0.129767835	-0.084064186	-0.10691525
HV4G1	-0.203872278	-0.984570026	-0.821029723	-0.469485223
HV4G3	1.865289688	1.455194592	0.338168859	0.172467172
HV4G4	-0.324726731	-0.473069578	-0.142957911	-0.058416635
HV4G7	-0.456638366	-0.866733551	-0.727920413	-0.673499107
HV4G8	-0.153246254	0.680009663	-0.113210499	-0.222392365
HV4G9	-0.861480117	-0.310340136	-0.619395912	-0.602240562
HV4G10	2.431716204	2.391578674	1.214594126	2.506536007
HV4G11	0.535667241	0.133266494	-0.128007486	0.120752156
HV4G12	1.20309186	-0.129767835	0.915935814	0.232173443
HV4H2	2.865289688	2.064467669	2.076210499	2.675565243
HV4H3	-0.881944239	-1.451696038	-1.027480721	-1.517848253
HV4H4	-0.44137162	-1.079727173	-1.869939327	-0.304854602
HV4H7	0.488618612	-0.656515837	-0.173331529	-0.27684027
HV4H8	1.610824585	1.432384729	1.12382865	-0.767826557
HV4H9	-0.033947289	-0.272372305	-0.158064783	-0.119298965
HV4H10	-0.923764348	-0.34933421	-1.055495024	-0.392317444
HV4H11	0.789672673	0.782769263	-0.352880985	0.141661137
HV4H12	-1.396517277	-1.78427124	-1.204358339	-1.249359608
HV5A2	0.63982445	-0.031364135	-0.128007486	1.905362964
HV5A3	-0.966833055	-0.473069578	-0.619395912	-0.023083597
HV5A4	-0.744440675	0.281020135	-0.683526218	-0.27684027
HV5A6	-0.045442939	0.895469427	0.451988757	1.344648242
HV5A7	-1.153246284	-0.181606829	-0.518466949	-1.422691107
HV5A8	1.112894058	0.161280841	0.826668501	0.982722044
HV5A9	-0.535493791	0.483208954	0.442004681	0.482151687
HV5A10	2.290268898	0.403355718	0.826668501	1.072568655
HV5B1	1.431716204	1.773724198	1.343542099	1.197645783
HV5B2	-0.456638366	0.415037513	-0.252186954	-0.157100961
HV5B3	0.217591465	-0.56187892	-0.084064186	0.554101527
HV5B4	-0.519374132	-1.63226819	-0.479992867	-1.517848253
HV5B5	-1.203872204	-0.954196334	-1.11321044	-1.392317414
HV5B6	-0.568283677	0.318822145	-1.11321044	-0.691877723
HV5B11	-1.966833115	-3.079727173	-2.40599227	-2.517848492
HV5B12	0.689212501	0.680009663	0.178970277	0.172467172
HV5C1	0.274174929	-0.584962547	0.249359548	-0.094636932
HV5C3	-0.381870568	-1.681177855	-1.518466949	-0.807354867
HV5C4	-1.256339669	0.620712459	-0.895030379	-0.691877723
HV5C6	1	1.584962487	0.78777951	0.842899084
HV5C7	1.260235786	1.415037513	0.566700399	0.652076721
HV5C8	-0.296981752	0.505235374	0.130060583	0.202629209
HV5C9	-1.203872204	-1.291231394	-0.705552638	-1.422691107
HV5C11	-0.671377182	-0.7842713	-0.750640452	0.141661137
HV5C12	1.488618612	0.281020135	0.348895252	0.994263649
HV5D1	1.188445091	0.505235374	1.299985647	1.072568655
HV5D2	1.743660212	0.42662546	0.755895376	1.294183016
HV5D3	-0.153246254	0.119052649	-0.128007486	-0.131789908
HV5D4	-1.283306837	-0.389411747	-0.188761562	-0.362570047
HV5D5	-0.618909836	-0.584962547	-0.920565426	-0.453717947
HV5D6	1.566201687	0.968635857	1.033630848	0.736965537
HV5D7	0.044055283	0.755461931	0.442004681	0.577308953
HV5D8	-1.080489874	-0.34933421	-0.013674922	-0.655351818
HV5D11	0.439983904	0.912052274	0.647119045	0.371448219
HV5D12	0.207941294	-0.063425414	-0.388070375	-0.362570047
HV5E1	0.448204398	0.516123652	0.923131287	0.506535828
HV5E2	-0.296981752	-0.129767835	0.130060583	0.099535704
HV5E3	2.052167892	1.722935915	0.32736212	2.1022048
HV5E7	0.033166975	0.600392461	0.305502564	0.666576266
HV5E8	-1.519374132	-0.516791105	-0.661831141	-1.119298935
HV5E9	-2.551795721	-1.539158821	-1.64045763	-1.362570047
HV5E11	-0.033947289	0.318822145	0.348895252	0.241888583
HV5E12	0.977457464	-1.112894058	-0.705552638	-0.691877723
HV5F3	-0.396517336	1.045803666	0.500898302	-0.18286404
HV5F4	-0.269760162	-0.199308813	-0.424139589	-0.422691077
HV5F5	0.682259738	1.082893014	0.260764301	1.265894055
HV5F7	-0.763299704	0.367731839	-0.920565426	-0.977279961
HV5F8	-0.551795602	-0.7842713	-0.538095772	-0.954912186
HV5F9	-1.080489874	-0.757799089	-0.461133868	-0.748461246
HV5F11	0.543361664	1.415037513	1	0.830075026
HV5G1	-0.153246254	0.015430026	-0.055495061	-0.27684027
HV5G2	-0.178337216	-0.681177914	-0.705552638	-0.046542555
HV5G4	1.664729834	0.755461931	0.857042074	1.005713582
HV5G5	1.163698435	0.689659834	1.136265755	1.099535704
HV5G6	0.789672673	1.391578555	0.944504917	0.62263298
HV5G7	1.52793169	0.331205845	0.451988757	0.976916432
HV5G8	1.128324032	1.553598285	0.958580077	0.554101527
HV5G11	1.17859745	1.16128087	1.046866655	1.182591319
HV5H1	2.03589654	1.769180179	1.562098503	2.192645073
HV5H3	-0.966833055	-0.757799089	-0.557995319	-0.517848313
HV5H4	-0.203872278	0.835880578	-0.069708906	0.110182941
HV5H6	0.207941294	-0.369233757	0.040263996	-0.333423734
HV5H7	1.310700893	0.343484163	1.310998678	1.48624444
HV5H8	-0.080489844	-1.494764686	-0.424139589	-1.169924974
HV5H9	1.123198986	1.090197802	1.380604029	1.045087814
HV5H10	1.551015139	1.349584341	1.0599823	-0.290779442
HV5H11	0.566201568	0.331205845	0.584962606	0.506535828
HV5H12	-0.636187792	-1.112894058	-1.142957926	-0.78745532
HV6A1	-0.178337216	-0.473069578	-0.23606731	0.232173443
HV6A2	0.983126223	-0.015596837	1.436986446	-0.290779442
HV6A5	1.158697844	0.610588253	-0.598637402	0.777607679
HV6A7	1.531804562	1.287389636	1.104969501	1.340132713
HV6A8	2.057550907	1.694460869	2.710871458	2.393407345
HV6A12	-0.653675199	0.075551048	-0.158064783	0.088809311
HV6B1	0.72348243	2.388619184	0.401362628	1.59636724
HV6B3	0.716693223	0.331205845	0.826668501	0.335603058
HV6B4	0.246160626	-0.369233757	-0.773724079	0.045087844
HV6B6	1.500525475	1.865982652	1.104969501	1.136462212
HV6B7	0.840521753	0.281020135	0.871992528	2.253941536
HV6B10	1.070921898	0.920272768	0.451988757	0.770913005
HV6C2	0.138519883	-0.129767835	-0.301655591	-0.347923279
HV6C4	1.092060566	0.844545424	-0.370368391	0.289506555
HV6C5	0.14864409	0.030696772	-0.084064186	-0.070389271
HV6C6	0.236700296	-0.539158881	-0.424139589	-0.082462102
HV6C9	0.709871948	0.090197816	0.401362628	0.308122218
HV6C10	0.63982445	0.281020135	-0.57817328	0.423599541
HV6C11	0.63982445	0.640750289	0.908704281	0.202629209
HV6C12	-0.861480117	-2.146841288	-1.727920294	-1.195920229
HV6D3	1.56997323	0.42662546	0.260764301	1.083416104
HV6D4	-0.19104825	-0.954196334	-0.204358399	-0.534336448
HV6D5	0.632628977	0.516123652	0.130060583	0.538419962
HV6D6	1.038621426	0.708768666	1.510484457	-0.517848313
HV6D7	1.484627724	1.090197802	0.672959089	1.415037513
HV6D8	0.983126223	0.104697369	-0.113210499	0.868210077
HV6D9	0.389652252	0.281020135	-1	-0.249359548
HV6D10	1.703018188	1.59012413	1.26076436	-0.263034463
HV6D11	0.118055791	1.349584341	-0.23606731	-0.131789908
HV6D12	0.827976525	1.119052649	0.698344409	1.056143045
HV6E2	0.033166975	-0.164119422	-0.318529397	-0.157100961
HV6E3	0.942969143	1.840219498	0.672959089	1.045087814
HV6E4	-0.353015751	0.43812111	-0.142957911	-0.10691525
HV6E5	-0.269760162	-0.656515837	-0.705552638	0.056143016
HV6E6	-0.256339669	0.25525707	-0.683526218	0.033947289
HV6E7	-0.945137978	-0.199308813	-0.318529397	-0.023083597
HV6E8	-0.902702749	0.293731183	0.190942913	-0.347923279
HV6E9	1.618129492	1.082893014	0.529467463	1.141661167
HV6E11	-0.487665236	-0.954196334	-0.142957911	0.62263298
HV6E12	-0.902702749	0.483208954	-0.318529397	0.172467172
HV6F1	-0.092363924	-0.43063435	-0.335602999	-0.304854602
HV6F2	1.484627724	0.045803647	0.370111704	0.849268556
HV6F3	-1.725825071	-1.015596867	-1.727920294	-1.222392321
HV6F4	1.260235786	1.615659237	1.104969501	0.941583395
HV6F5	-0.080489844	-0.146841437	0.214594156	0.251538754
HV6F7	1.070921898	-0.031364135	0.348895252	0.38027209
HV6F8	-0.256339669	-0.43063435	0	-0.082462102
HV6F9	-0.229867473	0.670294523	0.491248131	0.317340851
HV6F10	0.044055283	1.21572876	0.442004681	0.688055992
HV6F11	-0.178337216	1.060754061	0.130060583	-0.195920184
HV6F12	-0.01122725	1.188761592	0.104969621	0.22239244
HV6G1	1.849859715	1.47764945	1.0599823	1.760812402
HV6G2	-0.763299704	-0.369233757	-1.598637342	-0.977279961
HV6G3	-0.411314338	-0.181606829	-1.11321044	-0.619727969
HV6G4	0	0.472068399	0.214594156	0.120752156
HV6G5	-0.01122725	0.764621973	-0.098563738	-0.18286404
HV6G6	0.480625868	0.202308238	0.260764301	0.35363698
HV6G7	-0.744440675	0.968635857	0.178970277	-0.517848313
HV6G9	-0.310787559	-0.310340136	0.053439364	-0.710493445
HV6G10	0.217591465	0.505235374	-0.02748071	0.584962487
HV6G11	-0.243042842	-0.757799089	-0.499101698	-0.584962547
HV6G12	0.716693223	1.741611838	0.923131287	1.280107856
HV6H1	-2.153246164	-2.369233608	-2.204358339	-1.485426903
HV6H2	0.865289629	0.827163339	0.689932168	0.868210077
HV6H3	-0.296981752	0.579782248	0.154722616	0.088809311
HV6H5	0.022195727	-0.389411747	-0.499101698	0.192645133
HV6H6	0.128324091	1.168200254	0.348895252	0.440572619
HV6H7	0.207941294	0.293731183	-0.683526218	0.344648182
HV6H9	0.527931631	0.537656784	-0.318529397	-0.023083597
HV6H10	1.488618612	1.47764945	1.104969501	1.680931449
HV6H11	1.183529615	0.827163339	0.538866103	0.182591379
HV6H12	0.520154238	0.075551048	0.226275951	0.26112479
HV7A2	-1.033947229	-0.063425414	0.013546683	-0.195920184
HV7A3	-0.923764348	0.281020135	0	0.232173443
HV7A4	-1.396517277	-1.217230678	-1.869939327	-0.119298965
HV7A6	3.549105644	3.345011711	2.928504467	2.19013834
HV7A7	0.632628977	-1.329705477	0.237863898	-0.058416635
HV7A9	-0.725825071	-0.329705417	0.249359548	0.659344733
HV7A10	-0.068712682	0.944656909	0.226275951	0.289506555
HV7A12	-1.203872204	-1.539158821	-0.268488765	-0.222392365
HV7B3	0.158697844	0.460841149	-0.335602999	-0.119298965
HV7B4	1.6469841	0.558873236	0.879409969	1.289506555
HV7B7	2.994397163	2.889201403	2.033630848	2.615177155
HV7B9	2.166192293	2.355659008	2.679347277	0.600148857
HV7B11	3.90241003	3.108299732	1.694144487	3.323072433
HV7B12	0.054862022	-1.217230678	-0.28497687	-0.567888975
HV7C3	3.135977745	2.948681355	2.568995714	2.922077179
HV7C4	-1.725825071	0.600392461	-1.727920294	-0.485426843
HV7C5	-0.503432512	-1.181606889	-0.895030379	-0.619727969
HV7C6	0.504472673	-0.473069578	0.359542489	0.666576266
HV7C7	1.038621426	1.615659237	0.431950927	0.56187892
HV7C8	0.632628977	0.281020135	0.431950927	0.577308953
HV7C9	0.770132482	1.126177073	1.266433001	0.982722044
HV7C10	0.415037572	-1.681177855	-1.173331499	-1.333423734
HV7C12	0.097297251	0.355659008	0.272079587	0.067114264
HV7D1	-0.203872278	0.090197816	-0.28497687	-0.584962547
HV7D2	4.328622818	3.748553753	3.983746767	5.070866585
HV7D3	-0.256339669	-0.516791105	-0.619395912	-0.602240562
HV7D4	1.065588474	0.415037513	0.401362628	1.270647526
HV7D5	-0.269760162	0.331205845	-0.424139589	-0.422691077
HV7D6	0.971766293	0.835880578	-0.158064783	0.72315979
HV7D7	0.086804867	0.415037513	-0.301655591	-0.070389271
