gene	s1321	s1996	s1822	s1714	s1224	s1252	s1510	s1900	s1787	s1721	s1486	s1572	s1324	s1649	s1320	s1542	s1281	s1905
HK1D3	0.711874604	0.077404559	-1.081300139	0.718486071	-0.330473214	-0.418143421	1.128584266	-1.292180777	0.671119213	1.256595969	-0.09037447	0.301169515	0.961864948	0.669175506	0.717157125	0.28709811	-0.263034463	1.183004737
HK1D5	-0.536052823	0.445943594	-1.259087205	0.485426724	-0.480889976	-1.276124477	-0.343484163	-0.840801418	-0.227951884	-0.17544198	-0.409196615	0	0.402437508	0	-0.174029514	0.67475909	-0.447459042	-0.123382434
HK1D6	-0.668156385	0.077404559	-0.319459915	-0.533432245	-0.562419891	-0.507939994	-0.542792976	0.468148768	0.196800739	0.409520537	-0.393766582	0.372554183	-0.051074132	-0.17584981	-0.033166975	0.077305645	0.28293395	-1.097847342
HK1D10	-0.415037453	-1.233797073	-1.28293395	-1.571906328	-0.77923131	-1.167599916	-1.634715557	-0.697437286	-0.793549061	-1.360997677	-1.220435023	-0.784987211	-0.436099052	0.219009727	-0.415037543	-0.276331306	-0.862496495	-1.573185444
HK1D11	-0.903784633	-0.648834705	-1.461904287	-0.459431648	-1.03448844	-1.345386982	-0.406909585	-1.099535704	-0.294447392	-0.022195727	-0.948355436	-0.94937402	-0.090602458	-0.189270318	-0.429684311	-0.358793378	-0.952694356	-0.391578555
HK1E1	-0.366127908	-0.449525863	-1.259087205	-0.389042377	-0.83893764	-1.468769431	-1.182203293	-0.929610729	-0.774440289	0.010971248	-0.333645552	-0.719892085	-0.13124457	-0.976541042	-0.415037543	-1.341919541	-0.480625868	-0.345774889
HK1E3	-0.366127908	0.4036327	-1	1.082826376	0.055709511	-0.548204005	-0.456378222	-0.33703506	0.225559741	-0.590479434	-0.304499239	-0.052467376	-0.321928024	-0.085247353	-0.429684311	0.421640217	-0.621488452	-0.822212934
HK1E4	0.321928173	0.900058508	0.489655495	0.149377629	-0.069821388	0.278464496	0.036220297	0.647698224	0.05444786	0.680822492	0.261097938	-0.079434559	0.693668842	0.32665047	0.79480958	0.361098647	0.22239235	0.391190737
HK1E5	0.525723338	0.690795422	-1.019899607	0.898120344	0.305936098	-0.646767735	-0.838248849	0.180572212	0.509013653	0.861394882	0.31843105	-0.698830485	-0.064130276	-0.097847372	0.321927994	-0.040263996	-0.367731839	0.623851538
HK1E6	-0.951090336	-1.818759561	-0.589911699	0.32716471	-1.130703688	-0.603699088	-1.32805419	-0.567040682	-0.913843274	-0.658383548	-0.456502378	-0.807354987	-1.801095843	-1.316027522	-1.316473842	0.102180302	0.624490798	-1.843274593
HK1E7	-0.572578788	-0.480889976	-1.081300139	-0.371968746	-0.740757167	-0.972343564	-0.92844671	-1.048909664	-1.267480254	-0.863497853	-0.644574642	-1.134929657	-1.260527492	-1.682809949	-1.316473842	-0.659659922	0.350497186	-0.538419962
HK1E8	-0.448589981	-0.922595441	-0.714091182	-0.571906328	-0.449525863	-0.76832968	-0.390789926	-0.952694356	-1.498805761	-2.17544198	-0.819072485	-1.079434514	-1.636036634	-0.701918721	-1.263034463	-0.61843729	0.035623878	-1.376148582
HK1E9	0.048909694	-0.220500305	0.475511312	-0.552541077	0.210987687	-0.589623868	-0.182203323	-0.061400637	-1.09163034	-0.748020768	-0.077990755	-0.025995195	-0.758027136	-0.760812283	-0.078609914	-0.067744702	-0.248679191	1.244188309
HK1E10	1.291766047	1.847365737	0.591535091	0.686245799	1.104072452	1.133266568	1.875580192	0.758445263	1.027480841	1.151452422	-0.758530855	-0.149143457	0.52954942	1.09163034	0.972414136	1.026231527	0.552540958	0.31719014
HK1E11	-1.103093386	-1.703282475	-1.259087205	0.089004934	-2.344828606	-1.521236897	-0.905363083	-0.567040682	-1.97797358	-1.332983255	-0.626427293	-0.974464953	-1.35363698	-1.123382449	-1.584962487	-1.680721521	-0.884522915	-0.645335197
HK1F2	-0.318822145	-1.181329727	-0.832272649	-1.053439379	-0.4651227	-0.676211476	-1.182203293	-0.383328676	-0.793549061	-0.150779948	-0.719536781	-0.467504919	-0.523561895	-0.701918721	-0.371968865	-0.723790228	-0.383328676	-0.68280983
HK1F3	-1.273018479	-1.081794024	-1.019899607	-0.571906328	-0.316259354	-1.066671014	-1.32805419	-0.640104175	-0.893084764	-0.557689548	-0.556038022	-0.807354987	-0.655665398	-0.822212934	-0.758992016	-0.308752775	-0.399095953	-0.471305758
HK1F4	0.649813771	0.573557734	-0.102361739	-0.026472181	-0.093866855	-0.276124418	-0.19614251	-0.192645192	0.137503535	0.054039925	-0.318998784	0.050626025	0.049327806	-0.538419962	-0.536599517	-0.138827741	-0.165423602	0.33604911
HK1F5	-0.668156385	-0.5457412	0	-0.053439364	-0.057947308	-1.231730223	-0.343484163	-0.658963144	-0.75558126	-0.658383548	-0.440560758	-0.268196106	-0.578703523	-0.52134639	-0.276209831	-0.109972902	-0.819427788	-0.216491908
HK1F6	0.633872151	0.947953343	0.372417808	0.051530257	0.130256385	0.116192997	-0.19614251	0.378511488	-0.335867286	-0.150779948	0.346265346	0.135159597	0.383328676	0.219009727	0.155278176	-0.153474495	0.070389271	-0.258312047
HK1F7	-0.857980967	-2.130703688	-1.356934547	-0.226770893	-1.901221871	-2.106199265	-2.712717772	-1.024247646	-2.164386749	-2.17544198	-0.860892534	-2.16349864	-2.20163393	-1.438884377	-1.489805341	-0.229025543	-1.099535704	-1.149377584
HK1F8	1.572471619	1.56590414	2.419353962	0.593679667	0.953829885	1.795337915	2.307181597	1.576925039	1.520664096	1.958099008	1.226570249	1.397216201	2.331929445	1.74874258	1.82288456	-0.183221906	0.729734004	3.094402075
HK1F9	0.012383714	1.511161208	-0.503324091	-0.42380774	0	-0.548204005	-0.795180142	0.035623878	0	0.849220037	1.875011802	-0.432315528	0.20979248	1.672888994	2.859487772	0.138706282	-1.234465361	0.994075179
HK1F10	2.284126282	1.918206096	3.145565987	3.194488049	2.487048626	2.729500055	2.809100628	2.740567684	3.101753473	2.966577053	2.839547157	2.360063314	2.988981009	2.273833752	3.403722286	1.739610314	1.897240281	4.001477718
HK1F11	-0.07662122	0.161062419	-0.886043787	-0.338416219	-0.233797118	-0.736965537	-0.406909585	-0.383328676	-0.308122307	-0.607158184	-1.041464806	-0.415037572	-0.35363695	-0.272525907	-0.078609914	0.220500305	-0.929610729	0.288431138
HK1F12	-0.482941568	-1.181329727	-0.28293395	0.172836587	-1.130703688	-0.833180904	-0.92844671	-0.952694356	-1.045087814	-1.200532913	-1.01761806	0.087462887	-0.987509072	-0.407175392	-1.400537968	-0.702095151	-0.463947147	-1.123382449
HK1G1	-0.813586831	-0.880160213	-0.503324091	-0.338416219	-0.5963673	-1.167599916	-0.473251998	-0.480625868	-0.97797358	-0.658383548	-0.333645552	0.850856543	-0.597562492	-1.202816963	-0.400537997	-0.24462238	0.350497186	0.080489844
HK1G2	0.55140996	0.201139927	-0.123735368	0.07662122	0.487048745	-0.146841377	0.466085136	-0.112474769	-0.530514717	-0.433510065	0.469497114	-0.540568411	-0.436099052	-0.272525907	-0.137503535	0.632695079	1.011972666	-0.01187408
HK1G3	0.351472408	0.429167867	0.387604177	0.960107267	1.093464375	-0.146841377	0.656515837	-0.431157231	0.691877723	0.949570537	0.062871784	0.352516353	-0.245577127	0.31719014	1.169924974	0.319278479	-0.71706605	1.524589777
HK1G4	-0.228624329	-0.759865999	-0.763559818	0.619519711	-0.512951255	-0.220841885	-0.634715497	-0.248679191	-0.934904933	-1.126532316	-0.363392949	-0.163498744	-0.938599348	-0.471305758	-0.686842203	-0.410632372	-0.306977779	-0.345774889
HK1G6	0.291766137	0.676651239	0.253118873	0.558490276	0.201139927	-0.047305703	0.365284503	0.263034403	0.167456836	-0.748020768	0.355425388	0.865070343	-0.38605839	-0.301380724	0.145430416	0.526436388	0.536052823	0.354664773
HK1G7	-0.214124769	-0.022900403	-0.382469654	0.757799089	0.437580109	-0.990722179	0	-0.514573276	-0.254183412	-0.346922457	0.535460353	0.181329742	0.220599219	-0.301380724	-0.249978304	0.441268981	-0.567040682	0.124545127
HK1G8	-1.688055873	-1.130703688	-1.259087205	-1.35509491	-1.818759561	-1.443234444	-1.712717891	-1.415037632	-1.09163034	-1.509860992	-1.247915745	-2	-0.487938046	-1.438884377	-1.186413288	-0.44625628	-0.099535719	-1.345774889
HK1G9	-0.350186288	-2.288244963	-1.081300139	0.161154792	-1.081794024	-1.721535563	-1.456378222	-1.584962487	-1.934904933	-1.150779963	-1.424793482	-1.678071976	-1.523561835	-2.12338233	-1.343954563	-1.910203338	-1.125530958	-0.330824494
HK1G10	0.024662033	-0.288245022	-0.009915471	0.184424534	-0.081794024	-0.056955874	0.036220297	0.432959378	0.127379328	0.680822492	0.028924495	-0.807354987	0.458290815	0.623851538	0.533034563	0.220500305	0.51096189	0.229133934
HK1G11	-0.770518064	-0.81875962	-1.102361679	-0.257797748	-0.613645315	-1.575684786	-0.473251998	-1.234465361	-1.068171501	-1.711494803	-0.738902032	-0.299560249	-0.823122263	-1.149377584	-1.316473842	0.243042842	-1.048909664	-0.953457475
HK1G12	-0.975337982	-1.181329727	-0.763559818	-0.974004805	-1.316259384	-0.800390959	0.059871539	-0.862496495	-1.022367835	-0.17544198	-1.333645582	-1.762960792	-1.321928024	-1.023846745	-1.161751151	-1.124328136	-0.277534008	-2.230297565
HK1H1	-0.318822145	-0.220500305	0.531274557	0.368387341	-0.069821388	0.18330723	-0.975752354	-0.352301806	-0.056583494	0.624788523	-0.758530855	0	-0.636036634	-0.345774889	-0.149576366	-0.410632372	0.405992329	-0.123382434
HK1H2	0.593230128	-0.330473214	0.302028477	-0.242200911	-0.106041685	-0.157183319	0.059871539	-0.277534008	-0.176877752	0.279460043	-0.19346787	-0.149143457	0.334419131	0.435584813	-0.161751196	-0.053938918	-0.048909694	0.639118195
HK1H3	-1.157541275	-1.03448844	-0.39540872	-0.874469101	-0.859401703	-1.418143511	-0.597240806	-1.819427848	-0.700439692	-0.7854954	-1.903961301	-0.807354987	-0.50564003	-0.721283972	-1.552541137	-0.46440357	-1.383328676	-1.023846745
HK1H4	-0.591194451	-0.03448835	-1.461904287	-0.257797748	0.077404559	-1.321928024	-0.439699471	-1.321928144	-0.647328377	-1.418713093	-1.247915745	-1	-0.779400766	-1.023846745	-1.137503505	-0.790904462	0.321928024	-0.90836966
HV1A3	-1.536052823	-1.207324982	-0.904422402	-0.495957553	-0.631132722	-1.009337902	-1.390789986	-1.024247646	-1.812914371	-1.252063155	-0.275930107	-1.192645073	-0.987509072	-1.048094392	-1.090197921	-1.04026401	-0.640104175	-1.843274593
HV1A4	-0.089796588	0.869296312	0.029343903	-0.08092007	-0.496831596	0.116192997	0.694785774	0.10433656	-0.579424262	0.490139037	0.040329248	0.777607501	0.622115552	1.12995863	1.343623042	-0.292450964	-0.125530913	0.561115742
HV1A8	-0.050626025	0.022542536	0.27778095	0.218640223	0.055709511	0.575624585	-0.692818403	0.715161204	-0.103504479	-0.033422977	-0.994159102	-1.415037513	0.187932923	0.167294711	0.676705003	-0.198328778	-0.024247661	0.33604911
HV1A9	-0.668156385	-1.011404753	-1.019899607	0.013056144	-0.118320003	-0.146841377	-2.182203293	-0.757143617	0.065095097	-1.748020768	0.426683992	-0.974464953	-1.201633811	-1.258312106	-1.371968865	-1.183221817	-0.584962547	-1.886343241
HV1A11	0.229481906	0.5659042	-0.65066576	0.973527849	0.812215209	-0.037719667	-0.423211396	0.536052823	0.732519865	1.048726082	0.443961948	-0.299560249	0.819845915	0.536868215	0.613817334	-0.341919601	-0.514573276	0.452966899
HV1B1	-0.903784633	-0.944290519	-0.746881127	-1.42380774	-0.901221812	-0.901085019	-0.774118543	-0.798366189	-0.335867286	0.106128365	-0.758530855	-0.485426843	-0.453172624	-1.202816963	-1.211504221	0.064705625	-0.819427788	-0.149377629
HV1B2	-0.143735498	-1.057947278	-1.356934547	-0.974004805	-1.4651227	-1.253756642	-1.35908103	-1.178970337	-1.349942446	-1.573991299	-1.247915745	-0.637429893	-0.487938046	-1.048094392	-1	-0.638901412	-0.603109837	-1.202816963
HV1B3	-1.728698015	-2.233797073	-1.604862094	-0.67283529	-0.798860073	-1.231730223	-1.882642984	-1.549338698	-2.022367716	-2.641105413	-1.065712452	-1.900464296	-1.597562551	-1.345774889	-1.237039208	-0.198328778	-1.234465361	-0.701918721
HV1B7	0.454902023	-1.233797073	-0.780433655	-1.321928024	0.4036327	-1.494764566	-0.905363083	-2.321928024	-1.97797358	-1.945960164	-1.860892653	-2.052467346	-2.090602398	0.561115742	-1.796466708	-0.539365709	-2.819427967	0
HV1B11	-0.398549348	-0.703282475	-1.259087205	0.113458082	0.478920877	-1.009337902	0.872244596	-0.192645192	-0.546634376	-1.011055231	0.382561475	0.593524516	0	-0.2302977	-0.415037543	0.197599903	-0.321928173	-0.843274474
HV1C2	0.741931915	0.395019591	-0.43493706	-0.441509724	-0.529253066	-0.521236837	0.01217483	-0.447459042	-0.407657892	-0.389566749	-0.153939545	-1.415037513	0.373678505	0.32665047	-0.055709511	-0.213595524	-0.192645192	-0.590887368
HV1C8	-0.791891694	-0.43409583	-0.145430416	-0.321928144	-1.207324982	-0.603699088	-0.653824329	-0.567040682	-0.664815784	-1.573991299	-0.556038022	-0.521952748	-0.541709244	0.069262594	-0.618129373	0.150678918	-0.584962547	-0.189270318
HV1C10	0.361187547	0.470746934	0.424885273	0	-0.130703717	0.331205964	0.346175671	0.273018479	0.02202642	-0.11455965	0.117733806	-0.637429893	0.961864948	1.208813906	0.447458893	0.340340078	0.405992329	0.288431138
HV1C12	0.734476089	0.611228228	1.154471278	0.734340131	0.611228228	0.396300912	0.724687338	0.693022251	1.086156726	1.121395111	1.337046742	0.087462887	0.449130774	0.569108486	0.838248849	1.089796662	0.536052823	1.208813906
HV1D1	-0.448589981	0.640671968	-1.307181597	0.30610311	-0.118320003	-0.405759692	0.56856811	0.011972636	0.453365654	0.701286674	-0.005840898	0.123382434	1.043253183	0.452966899	-0.796466708	-0.026717313	-0.352301806	-0.721283972
HV1D3	0.250543505	0.033683091	-1.019899607	0.644905031	0.64793998	-0.676211476	-0.154722616	0.011972636	0.829381227	1.358894467	-0.318998784	-0.299560249	0.073373273	-0.663950861	0.807354808	0.297904849	-0.321928173	0.400179535
HV1D5	-1.813586831	-1.944290519	-0.589911699	-1.289506674	-2.403722286	-1.345386982	-2.795180082	-2.736965656	-2.562936306	-0.509860933	-2.193467855	-2.485426664	-1.938599348	-1.801454425	-2.137503624	-0.229025543	-1.621488452	-1.760812283
HV1E2	-1.334419012	-1.181329727	-1.575114727	-0.974004805	-1.631132722	-1.721535563	-1.838248849	-1.234465361	-1.115477085	-0.883675873	-1.738902092	-1.521952748	-0.914752603	-1.316027522	-0.459431708	-1.55873096	-0.71706605	-0.740912795
HV1E8	-0.185555637	0.588744104	-1	-0.827163458	0.351165354	1.133266568	0.215389088	0.874469042	1.570089221	-0.278535366	0.400372714	0.610497594	0.791134655	-0.085247353	-1.161751151	-0.768184423	0.424026251	-2.023846626
HV1E11	-3.157541275	-1.859401703	-2.48938489	-3.321928263	-3.66675663	-2.575684547	-2.024662018	-2.906890869	-2.378511667	1.101003289	-2.700427771	-2.16349864	-3.523561954	-1.930737376	-2.459431648	-2.067744732	-2.819427967	-2.345774889
HV1F5	0.559871554	-0.03448835	0.095577538	0.980191529	0.487048745	-0.455945432	0.430239975	-0.321928173	0.05444786	-0.494264126	-0.115465432	0.012824029	-0.436099052	-0.573185384	0.174774319	0.489203453	0.292781711	0.889441609
HV1F7	-0.482941568	-0.288245022	-0.43493706	0.855264902	0.711755037	0.417362571	-0.634715497	0.685566366	1.863328576	1.319723845	1.175765872	1.301169515	2.040206194	1.452966809	1.459431648	1.209095597	-0.277534008	1.672888994
HV1F12	0.096215367	0.603772342	0.704993248	-0.013175368	0.342232227	0.789964795	0	0.975752354	0.614256859	0.786756039	0.31843105	-0.177998304	0.685891449	0.600644112	0.862496495	0.763197064	0.387730122	0.268934995
HV1G1	-0.103093401	-0.130703717	0.253118873	0.207324937	0.296717465	-0.231730193	0.225881472	0.359895825	0.335184246	0.497958511	0.337046713	-0.093109481	0.120294258	-0.048094377	0.095157117	0.55374372	-0.206450984	1.005900621
HV1G2	-0.025090963	0.077404559	-0.448357552	-0.242200911	0.109347403	-0.210035145	-0.32805413	-0.248679191	-0.378511578	-0.494264126	-0.065712437	-1.106915236	0.097024515	0.584962487	-0.343954533	0.544698596	0.22239235	-0.17584981
HV1G4	0.229481906	0.324198306	0.211054862	-0.406320333	-0.181329742	-0.264897168	-0.439699471	0.476813614	-0.514573097	0.032666296	0.028924495	-1.807354927	-0.306331187	-0.123382434	0.690315485	-0.861293733	-0.292180777	0.639118195
HV1G7	-0.728698015	-0.181329742	-0.886043787	0.241008028	-0.233797118	-1.146841407	0.775568485	0.159198582	-0.393011123	0	0.149676651	-1.521952748	0.10870631	-0.2302977	-0.211504191	-0.168271482	-0.178970277	0.198545635
HV1G9	0.633872151	1.499155283	0.944601655	2.140480995	2.085456848	-0.116253078	2.246640205	2	2.137503386	1.999999881	1.571280837	0.192645028	2.626185179	1.68028748	2.040414095	0.853867471	0.616671324	1.156725407
HV1G10	0.301890343	0.725560784	1.281850576	0.398549378	0.249720037	-0.086299777	0.466085136	1.029747367	0.387023181	0.972201586	0.270813078	-1.678071976	1.288936257	0.487115175	1.155278206	-0.067744702	0.159198582	1.345386982
HV1G11	1.250543475	0.669526815	-0.307181597	0.644905031	0.4036327	-0.901085019	0.73206687	0.369233727	0.725825191	-0.138605118	0.946462393	-1.315501928	0.073373273	0.219009727	-0.330148727	0.013175368	-0.447459042	0.307667345
HV1H1	0.164386809	0.296717465	-0.344334602	-0.12314827	0.503168404	-0.866733432	-0.037152976	-0.306977779	-0.189477772	0.106128365	-0.333645552	0.050626025	-0.090602458	0.208813936	0.423211366	0.276209831	-0.514573276	0.503890872
HV1H2	-0.037801996	-0.260764301	0.364764273	-0.226770893	0.161062419	-0.494764626	-0.127755433	-0.061400637	0.570089221	-0.044738263	-0.275930107	-0.55942744	-0.025311053	0.113656819	-0.198904172	0.138706282	0.159198582	-0.244236887
HV1H3	-0.228624329	-1.703282475	-0.319459915	0.051530257	-0.5457412	-0.418143421	-0.753360033	-0.777607679	-0.164386809	-0.883675873	-0.304499239	-0.012939051	-0.891293705	-1.202816963	-1.343954563	0.739610314	-0.321928173	-1.438884377
HV1H4	0.499571055	0.191224456	0.158903539	-0.108934425	1.114603162	-0.56187892	0.584962547	-0.584962547	0.378511697	-0.478834093	-0.077990755	-0.698830485	0.143194661	0.503890872	-0.505235374	0.297904849	0.263034403	-1.230297685
HV1H5	-0.185555637	-1.233797073	-1.040077567	-1.166649818	-0.562419891	-1.548203945	-0.525090992	-0.658963144	-0.630050421	-0.252063215	-0.70042789	-0.830075026	-0.47045064	-0.391578555	-0.65207684	-0.276331306	-1.383328676	-0.316027492
HV1H6	-3.688055754	-1.740757227	-2.604862213	-3.196397305	-4.181329727	-2.816692829	-2.560714722	-2.206450939	-2.498805761	-2.641105413	-3.041464567	-0.900464296	-1.891293645	-1.345774889	-1.758991957	-1.308752656	-2	-3.023846626
HV1H7	-0.903784633	-0.579293728	-0.503324091	-0.631612659	-1.011404753	-0.752562404	-0.507603586	0.115477115	-0.033683091	0.521165967	-0.24791576	0.075288057	0.294061303	-0.149377629	-0.289506614	0	-0.497499675	-0.886343241
